SupplierID,SupplierName,Country,Currency,PaymentTerms,SupplierRating,PrimaryRawMaterialExposure,Status
SUP-00299,Horizon Metal Tech 299,Unknown,CAD,LC At Sight,3.84,Crude Oil / Polymers,Active
sup_300,Andean Logistics Parts 300,Vietnam,VND,COD,2.93,Freight,Active
SUP-00301,Global Chemical Resins 301,Japan,JPY,Net 60,2.49,Crude Oil / Polymers,Under Review
SUP-00302,Precision Metal Tech 302,Canada,CAD,LC At Sight,3.78,Freight,Active
SUP-00303,Global Industrial 303,USA,USD,COD,2.36,Packaging,Preferred
SUP-00304,Titan Electronics 304,USA,USD,Net 30,2.37,Copper,Under Review
SUP-00305,Andean Metal Tech 305,Germany,EUR,Net 30,2.69,Freight,Active
SUP-00306,Vanguard Logistics Parts 306,South Korea,KRW,2/10 Net 30,4.5,Electronics,Inactive
SUP-00307,Pacific Microtech 307,Canada,CAD,Net 60,3.58,Rare Earths,Inactive
SUP-00308,Atlas Electronics 308,South Korea,KRW,COD,,Copper,Inactive
SUP-00309,Andean Logistics Parts 309,Germany,EUR,COD,4.57,Steel,Inactive
SUP-00310,Apex Logistics Parts 310,Germany,EUR,Net 30,3.59,Electronics,Under Review
SUP-00311,Global Electronics 311,USA,USD,Net 30,2.5,Crude Oil / Polymers,Preferred
SUP-00312,Pacific Industrial 312,Unknown,TWD,Net 30,2.61,Crude Oil / Polymers,Active
SUP-00313,Bavarian Chemical Resins 313,South Korea,KRW,LC At Sight,2.96,Electronics,Active
SUP-00314,Apex Microtech 314,Vietnam,VND,Net 30,2.36,Freight,Inactive
SUP-00315,Global Industrial 315,China,CNY,COD,4.5,Steel,Active
SUP-00316,Precision Electronics 316,Germany,EUR,COD,2.37,Rare Earths,Inactive
SUP-00317,Sino Microtech 317,China,CNY,COD,3.1,Steel,Active
SUP-00318,Andean Cable & Wire 318,USA,USD,2/10 Net 30,4.6,Freight,Under Review
SUP-00319,Andean Metal Tech 319,Germany,EUR,Net 30,2.76,Copper,Under Review
SUP-00320,Apex Metal Tech 320,China,CNY,COD,4.8,Crude Oil / Polymers,Active
SUP-00321,Vanguard Metal Tech 321,Japan,JPY,Net 30,3.06,Crude Oil / Polymers,Active
SUP-00322,Vanguard Polymer Corp 322,Germany,EUR,Net 30,,Packaging,Active
SUP-00323,Horizon Chemical Resins 323,Germany,EUR,LC At Sight,3.53,Crude Oil / Polymers,Active
SUP-00324,Apex Metal Tech 324,India,INR,Net 30,4.5,Rare Earths,Active
SUP-00325,Andean Industrial 325,Unknown,VND,COD,2.2,Crude Oil / Polymers,Active
SUP-00326,Atlas Polymer Corp 326,Vietnam,VND,Net 30,2.55,Crude Oil / Polymers,Inactive
SUP-00327,Andean Industrial 327,China,CNY,Net 60,4.38,Rare Earths,Preferred
SUP-00328,Bavarian Electronics 328,South Korea,KRW,Net 30,2.87,Copper,Active
SUP-00329,Sino Logistics Parts 329,Chile,USD,LC At Sight,3.16,Freight,Active
SUP-00330,Sino Logistics Parts 330,Chile,USD,Net 30,4.27,Steel,Active
SUP-00331,Apex Logistics Parts 331,Taiwan,TWD,LC At Sight,4.69,Freight,Under Review
SUP-00332,Sino Chemical Resins 332,Vietnam,VND,COD,3.33,Steel,Active
SUP-00333,Sino Electronics 333,Germany,EUR,Net 30,4.5,Packaging,Active
SUP-00334,Pacific Metal Tech 334,Canada,CAD,Net 30,3.02,Electronics,Preferred
SUP-00335,Pacific Cable & Wire 335,Mexico,MXN,Net 30,3.71,Copper,Active
SUP-00336,Pacific Chemical Resins 336,Vietnam,VND,Net 30,,Crude Oil / Polymers,Active
SUP-00337,Andean Electronics 337,Canada,CAD,2/10 Net 30,2.5,Packaging,Inactive
SUP-00338,Bavarian Electronics 338,Unknown,EUR,Net 30,3.87,Packaging,Under Review
SUP-00339,Sino Chemical Resins 339,Chile,USD,Net 60,4.49,Electronics,Inactive
SUP-00340,Global Microtech 340,Mexico,MXN,Net 30,2.08,Steel,Preferred
SUP-00341,Nippon Logistics Parts 341,South Korea,KRW,Net 60,4.97,Copper,Under Review
SUP-00342,Vanguard Industrial 342,India,INR,2/10 Net 30,4.5,Steel,Active
SUP-00343,Apex Industrial 343,Vietnam,VND,Net 30,3.64,Steel,Preferred
SUP-00344,Andean Logistics Parts 344,USA,USD,COD,4.84,Crude Oil / Polymers,Preferred
SUP-00345,Pacific Logistics Parts 345,Japan,JPY,Net 30,3.74,Packaging,Under Review
SUP-00346,Pacific Cable & Wire 346,China,CNY,COD,4.74,Freight,Preferred
SUP-00347,Bavarian Polymer Corp 347,Germany,EUR,Net 30,2.08,Packaging,Preferred
SUP-00348,Horizon Electronics 348,South Korea,KRW,COD,2.07,Crude Oil / Polymers,Inactive
SUP-00349,Andean Logistics Parts 349,Japan,JPY,LC At Sight,2.04,Steel,Active
SUP-00350,Apex Industrial 350,Taiwan,TWD,Net 30,,Packaging,Preferred
SUP-00351,Sino Chemical Resins 351,Unknown,JPY,Net 60,4.5,Packaging,Active
SUP-00352,Global Industrial 352,Vietnam,VND,LC At Sight,2.46,Rare Earths,Active
SUP-00353,Nippon Polymer Corp 353,Mexico,MXN,LC At Sight,3.32,Steel,Inactive
SUP-00354,Pacific Chemical Resins 354,China,CNY,Net 30,3.88,Copper,Under Review
SUP-00355,Precision Electronics 355,Mexico,MXN,Net 60,3.79,Copper,Active
SUP-00356,Apex Cable & Wire 356,China,CNY,LC At Sight,4.98,Electronics,Active
SUP-00357,Bavarian Industrial 357,Mexico,MXN,Net 30,3.92,Rare Earths,Active
SUP-00358,Apex Metal Tech 358,China,CNY,Net 30,2.5,Crude Oil / Polymers,Inactive
SUP-00359,Pacific Industrial 359,India,INR,Net 60,4.84,Crude Oil / Polymers,Active
SUP-00360,Bavarian Polymer Corp 360,China,CNY,2/10 Net 30,4.5,Crude Oil / Polymers,Inactive
SUP-00361,Apex Logistics Parts 361,Taiwan,TWD,Net 30,4.23,Steel,Active
SUP-00362,Vanguard Metal Tech 362,Canada,CAD,Net 30,3.91,Rare Earths,Preferred
SUP-00363,Vanguard Logistics Parts 363,Taiwan,TWD,Net 30,2.17,Electronics,Active
SUP-00364,Vanguard Industrial 364,Unknown,GBP,Net 60,,Packaging,Preferred
SUP-00365,Nippon Electronics 365,Germany,EUR,Net 60,4.09,Crude Oil / Polymers,Active
SUP-00366,Vanguard Logistics Parts 366,South Korea,KRW,LC At Sight,4.39,Freight,Under Review
SUP-00367,Precision Chemical Resins 367,UK,GBP,Net 30,4.99,Copper,Active
SUP-00368,Sino Cable & Wire 368,Taiwan,TWD,LC At Sight,2.86,Copper,Inactive
SUP-00369,Horizon Industrial 369,UK,GBP,LC At Sight,4.5,Freight,Preferred
SUP-00370,Sino Cable & Wire 370,Vietnam,VND,LC At Sight,4.75,Copper,Under Review
SUP-00371,Titan Chemical Resins 371,Vietnam,VND,2/10 Net 30,2.97,Electronics,Preferred
SUP-00372,Apex Metal Tech 372,Germany,EUR,Net 30,4.41,Copper,Inactive
SUP-00373,Vanguard Industrial 373,USA,USD,Net 30,4.3,Copper,Preferred
SUP-00374,Precision Microtech 374,Mexico,MXN,2/10 Net 30,4.19,Copper,Preferred
SUP-00375,Vanguard Industrial 375,Germany,EUR,Net 30,2.21,Copper,Preferred
SUP-00376,Precision Cable & Wire 376,Vietnam,VND,Net 30,4.82,Electronics,Under Review
SUP-00377,Apex Cable & Wire 377,Unknown,EUR,Net 30,4.81,Electronics,Inactive
SUP-00378,Titan Microtech 378,Taiwan,TWD,COD,4.5,Freight,Active
SUP-00379,Apex Metal Tech 379,Canada,CAD,Net 30,3.05,Packaging,Inactive
SUP-00380,Precision Metal Tech 380,Canada,CAD,2/10 Net 30,4.42,Crude Oil / Polymers,Inactive
SUP-00381,Apex Metal Tech 381,Chile,USD,2/10 Net 30,3.81,Crude Oil / Polymers,Active
SUP-00382,Sino Logistics Parts 382,China,CNY,Net 60,3.88,Crude Oil / Polymers,Inactive
SUP-00383,Pacific Electronics 383,Taiwan,TWD,Net 30,4.56,Copper,Under Review
SUP-00384,Andean Cable & Wire 384,Chile,USD,Net 30,2.81,Electronics,Active
SUP-00385,Precision Metal Tech 385,UK,GBP,2/10 Net 30,2.8,Packaging,Preferred
SUP-00386,Global Industrial 386,UK,GBP,Net 30,3.57,Electronics,Under Review
SUP-00387,Precision Logistics Parts 387,UK,GBP,Net 30,4.5,Packaging,Active
SUP-00388,Vanguard Industrial 388,Germany,EUR,2/10 Net 30,4.41,Steel,Inactive
SUP-00389,Nippon Chemical Resins 389,USA,USD,COD,3.03,Copper,Active
SUP-00390,Vanguard Electronics 390,Unknown,GBP,Net 30,3.23,Freight,Active
SUP-00391,Atlas Industrial 391,Canada,CAD,Net 60,3.94,Packaging,Inactive
SUP-00392,Apex Chemical Resins 392,Canada,CAD,Net 30,,Crude Oil / Polymers,Active
SUP-00393,Bavarian Polymer Corp 393,Chile,USD,Net 30,4.08,Steel,Active
SUP-00394,Bavarian Electronics 394,Mexico,MXN,Net 60,2.58,Rare Earths,Preferred
SUP-00395,Andean Industrial 395,Canada,CAD,2/10 Net 30,2.22,Copper,Active
SUP-00396,Precision Chemical Resins 396,Germany,EUR,2/10 Net 30,4.5,Steel,Inactive
SUP-00397,Apex Microtech 397,Canada,CAD,COD,2.76,Rare Earths,Under Review
SUP-00398,Horizon Cable & Wire 398,South Korea,KRW,Net 30,2.31,Electronics,Active
SUP-00399,Horizon Cable & Wire 399,Chile,USD,COD,3.21,Rare Earths,Active
SUP-00400,Andean Metal Tech 400,Vietnam,VND,Net 60,4.78,Electronics,Under Review
SUP-00401,Bavarian Polymer Corp 401,Mexico,MXN,Net 30,4.88,Electronics,Inactive
SUP-00402,Pacific Industrial 402,Chile,USD,Net 30,2.51,Crude Oil / Polymers,Active
SUP-00403,Atlas Chemical Resins 403,Unknown,INR,Net 30,2.38,Electronics,Inactive
SUP-00404,Andean Metal Tech 404,Japan,JPY,COD,3.1,Freight,Under Review
SUP-00405,Horizon Electronics 405,India,INR,Net 30,4.5,Rare Earths,Under Review
SUP-00406,Pacific Electronics 406,India,INR,Net 30,,Packaging,Preferred
SUP-00407,Horizon Industrial 407,Canada,CAD,Net 30,3.47,Steel,Preferred
SUP-00408,Titan Cable & Wire 408,UK,GBP,Net 60,3.02,Steel,Active
SUP-00409,Precision Cable & Wire 409,UK,GBP,LC At Sight,2.87,Packaging,Active
SUP-00410,Precision Industrial 410,Mexico,MXN,Net 30,3.62,Freight,Under Review
SUP-00411,Andean Cable & Wire 411,China,CNY,Net 30,3.18,Crude Oil / Polymers,Active
SUP-00412,Sino Electronics 412,Germany,EUR,Net 60,3.36,Packaging,Active
SUP-00413,Pacific Chemical Resins 413,USA,USD,LC At Sight,2.6,Copper,Active
SUP-00414,Horizon Polymer Corp 414,Mexico,MXN,Net 30,4.5,Rare Earths,Active
SUP-00415,Horizon Metal Tech 415,China,CNY,LC At Sight,2.98,Electronics,Active
SUP-00416,Vanguard Metal Tech 416,Unknown,MXN,LC At Sight,3.47,Packaging,Inactive
SUP-00417,Vanguard Chemical Resins 417,UK,GBP,Net 60,3.76,Copper,Active
SUP-00418,Pacific Logistics Parts 418,Taiwan,TWD,Net 30,4.22,Packaging,Active
SUP-00419,Atlas Electronics 419,Germany,EUR,Net 60,4.62,Electronics,Active
SUP-00420,Apex Chemical Resins 420,China,CNY,Net 30,,Rare Earths,Active
SUP-00421,Apex Cable & Wire 421,Taiwan,TWD,Net 30,3.5,Packaging,Under Review
SUP-00422,Nippon Industrial 422,South Korea,KRW,Net 60,4.32,Rare Earths,Inactive
SUP-00423,Sino Electronics 423,Germany,EUR,Net 30,4.5,Steel,Active
SUP-00424,Atlas Microtech 424,Germany,EUR,Net 30,4.91,Electronics,Active
SUP-00425,Atlas Electronics 425,Mexico,MXN,Net 30,2.68,Freight,Under Review
SUP-00426,Sino Chemical Resins 426,USA,USD,Net 30,2.67,Copper,Preferred
SUP-00427,Pacific Chemical Resins 427,Japan,JPY,2/10 Net 30,2.48,Rare Earths,Active
SUP-00428,Apex Chemical Resins 428,China,CNY,Net 30,3.01,Copper,Inactive
SUP-00429,Andean Microtech 429,Unknown,INR,Net 30,3.91,Freight,Preferred
SUP-00430,Vanguard Electronics 430,Chile,USD,LC At Sight,4.26,Electronics,Active
SUP-00431,Vanguard Industrial 431,South Korea,KRW,Net 30,4.55,Steel,Active
SUP-00432,Atlas Cable & Wire 432,Vietnam,VND,Net 30,4.5,Copper,Inactive
SUP-00433,Precision Chemical Resins 433,Canada,CAD,Net 30,3.19,Copper,Active
SUP-00434,Titan Industrial 434,Japan,JPY,Net 60,,Rare Earths,Preferred
SUP-00435,Vanguard Microtech 435,UK,GBP,COD,3.84,Copper,Active
SUP-00436,Bavarian Polymer Corp 436,USA,USD,COD,3.08,Packaging,Inactive
SUP-00437,Pacific Cable & Wire 437,Vietnam,VND,2/10 Net 30,2.91,Copper,Active
SUP-00438,Vanguard Polymer Corp 438,Canada,CAD,2/10 Net 30,2.67,Copper,Inactive
SUP-00439,Titan Metal Tech 439,Mexico,MXN,Net 30,2.94,Steel,Active
SUP-00440,Vanguard Cable & Wire 440,Mexico,MXN,LC At Sight,2.54,Crude Oil / Polymers,Active
SUP-00441,Sino Microtech 441,USA,USD,LC At Sight,4.5,Crude Oil / Polymers,Active
SUP-00442,Pacific Cable & Wire 442,Unknown,USD,2/10 Net 30,4.41,Packaging,Preferred
SUP-00443,Andean Logistics Parts 443,China,CNY,Net 30,3.51,Electronics,Active
SUP-00444,Global Cable & Wire 444,Taiwan,TWD,COD,4.35,Freight,Under Review
SUP-00445,Apex Logistics Parts 445,Japan,JPY,LC At Sight,3.32,Electronics,Active
SUP-00446,Vanguard Chemical Resins 446,India,INR,LC At Sight,2.72,Electronics,Active
SUP-00447,Bavarian Chemical Resins 447,Chile,USD,COD,3.05,Packaging,Preferred
SUP-00448,Vanguard Cable & Wire 448,Taiwan,TWD,COD,,Crude Oil / Polymers,Inactive
SUP-00449,Horizon Logistics Parts 449,Taiwan,TWD,2/10 Net 30,2.26,Copper,Inactive
sup_450,Precision Microtech 450,Vietnam,VND,Net 60,4.5,Copper,Inactive
SUP-00451,Nippon Electronics 451,China,CNY,Net 30,3.96,Steel,Active
SUP-00452,Atlas Industrial 452,India,INR,Net 30,2.95,Packaging,Inactive
SUP-00453,Pacific Metal Tech 453,UK,GBP,COD,4.27,Freight,Inactive
SUP-00454,Titan Microtech 454,Vietnam,VND,LC At Sight,3.98,Steel,Active
SUP-00455,Atlas Cable & Wire 455,Unknown,CNY,2/10 Net 30,4.42,Rare Earths,Inactive
SUP-00456,Atlas Cable & Wire 456,Mexico,MXN,Net 30,4.07,Steel,Active
SUP-00457,Precision Electronics 457,China,CNY,Net 30,3.5,Packaging,Active
SUP-00458,Andean Industrial 458,Japan,JPY,Net 60,3.4,Crude Oil / Polymers,Under Review
SUP-00459,Sino Chemical Resins 459,UK,GBP,Net 30,4.5,Steel,Active
SUP-00460,Nippon Industrial 460,Canada,CAD,2/10 Net 30,4.32,Electronics,Active
SUP-00461,Apex Metal Tech 461,Chile,USD,COD,4.08,Steel,Active
SUP-00462,Pacific Polymer Corp 462,Chile,USD,COD,,Freight,Active
SUP-00463,Atlas Cable & Wire 463,Germany,EUR,Net 30,2.45,Copper,Under Review
SUP-00464,Titan Cable & Wire 464,Mexico,MXN,Net 60,3.34,Rare Earths,Active
SUP-00465,Titan Logistics Parts 465,South Korea,KRW,Net 30,3.09,Freight,Inactive
SUP-00466,Apex Cable & Wire 466,India,INR,LC At Sight,3.73,Crude Oil / Polymers,Preferred
SUP-00467,Nippon Logistics Parts 467,Taiwan,TWD,2/10 Net 30,4.2,Steel,Under Review
SUP-00468,Global Polymer Corp 468,Unknown,CNY,Net 30,4.5,Steel,Active
SUP-00469,Bavarian Metal Tech 469,South Korea,KRW,Net 30,2.36,Packaging,Under Review
SUP-00470,Bavarian Industrial 470,Chile,USD,Net 30,4.78,Packaging,Under Review
SUP-00471,Andean Microtech 471,Mexico,MXN,Net 60,3.51,Freight,Inactive
SUP-00472,Apex Electronics 472,Vietnam,VND,Net 60,4.12,Freight,Active
SUP-00473,Nippon Chemical Resins 473,Japan,JPY,Net 30,3.17,Freight,Preferred
SUP-00474,Pacific Industrial 474,USA,USD,Net 30,3.31,Packaging,Active
SUP-00475,Bavarian Cable & Wire 475,Chile,USD,COD,3.38,Copper,Active
SUP-00476,Sino Electronics 476,Mexico,MXN,COD,,Crude Oil / Polymers,Active
SUP-00477,Titan Microtech 477,Mexico,MXN,Net 30,4.5,Rare Earths,Inactive
SUP-00478,Nippon Industrial 478,Canada,CAD,Net 60,4.06,Crude Oil / Polymers,Active
SUP-00479,Sino Chemical Resins 479,South Korea,KRW,Net 30,3.68,Copper,Active
SUP-00480,Andean Microtech 480,China,CNY,Net 30,3.43,Crude Oil / Polymers,Active
SUP-00481,Vanguard Chemical Resins 481,Unknown,USD,COD,4.23,Freight,Active
SUP-00482,Horizon Polymer Corp 482,UK,GBP,Net 30,2.54,Steel,Inactive
SUP-00483,Andean Electronics 483,USA,USD,Net 60,3.51,Rare Earths,Active
SUP-00484,Sino Microtech 484,Canada,CAD,COD,2.25,Crude Oil / Polymers,Under Review
SUP-00485,Bavarian Cable & Wire 485,Germany,EUR,LC At Sight,2.56,Rare Earths,Under Review
SUP-00486,Titan Logistics Parts 486,UK,GBP,Net 30,4.5,Freight,Active
SUP-00487,Precision Industrial 487,UK,GBP,Net 30,3.32,Rare Earths,Under Review
SUP-00488,Atlas Industrial 488,USA,USD,Net 30,4.84,Crude Oil / Polymers,Active
SUP-00489,Titan Logistics Parts 489,South Korea,KRW,Net 60,4.84,Steel,Preferred
SUP-00490,Bavarian Microtech 490,South Korea,KRW,Net 60,,Freight,Under Review
SUP-00491,Pacific Industrial 491,Taiwan,TWD,Net 60,2.22,Steel,Preferred
SUP-00492,Titan Electronics 492,China,CNY,Net 30,3.29,Packaging,Preferred
SUP-00493,Apex Chemical Resins 493,USA,USD,2/10 Net 30,4.52,Crude Oil / Polymers,Inactive
SUP-00494,Precision Electronics 494,Unknown,TWD,COD,4.84,Rare Earths,Under Review
SUP-00495,Sino Industrial 495,Japan,JPY,Net 30,4.5,Electronics,Active
SUP-00496,Precision Metal Tech 496,USA,USD,Net 30,3.34,Rare Earths,Preferred
SUP-00497,Sino Metal Tech 497,Mexico,MXN,LC At Sight,3.65,Steel,Inactive
SUP-00498,Horizon Cable & Wire 498,UK,GBP,Net 30,2.91,Packaging,Inactive
SUP-00499,Bavarian Chemical Resins 499,Chile,USD,Net 30,4.87,Electronics,Active
SUP-00500,Apex Industrial 500,USA,USD,Net 60,3.31,Crude Oil / Polymers,Preferred
SUP-00501,Pacific Cable & Wire 501,China,CNY,Net 30,2.33,Packaging,Active
SUP-00502,Sino Electronics 502,USA,USD,2/10 Net 30,4.37,Steel,Under Review
SUP-00503,Apex Microtech 503,Mexico,MXN,Net 30,2.13,Rare Earths,Preferred
SUP-00504,Titan Electronics 504,Vietnam,VND,LC At Sight,4.5,Packaging,Active
SUP-00505,Pacific Logistics Parts 505,Canada,CAD,Net 30,4.89,Freight,Active
SUP-00506,Sino Logistics Parts 506,Germany,EUR,COD,3.34,Freight,Active
SUP-00507,Bavarian Electronics 507,Unknown,USD,Net 30,4.22,Packaging,Inactive
SUP-00508,Atlas Chemical Resins 508,Vietnam,VND,Net 30,2.38,Crude Oil / Polymers,Inactive
SUP-00509,Vanguard Metal Tech 509,Canada,CAD,Net 30,4.92,Rare Earths,Active
SUP-00510,Apex Electronics 510,South Korea,KRW,LC At Sight,2.13,Crude Oil / Polymers,Active
SUP-00511,Nippon Polymer Corp 511,Mexico,MXN,Net 30,4.38,Steel,Preferred
SUP-00512,Nippon Cable & Wire 512,South Korea,KRW,2/10 Net 30,4.78,Copper,Inactive
SUP-00513,Precision Industrial 513,Japan,JPY,Net 30,4.5,Copper,Active
SUP-00514,Andean Polymer Corp 514,USA,USD,Net 30,4.75,Rare Earths,Active
SUP-00515,Sino Electronics 515,India,INR,Net 60,3.1,Copper,Active
SUP-00516,Vanguard Metal Tech 516,Japan,JPY,LC At Sight,4.1,Steel,Inactive
SUP-00517,Titan Electronics 517,UK,GBP,Net 60,2.92,Packaging,Under Review
SUP-00518,Andean Polymer Corp 518,USA,USD,COD,,Copper,Active
SUP-00519,Andean Polymer Corp 519,USA,USD,Net 30,4.92,Crude Oil / Polymers,Active
SUP-00520,Horizon Microtech 520,Unknown,USD,Net 60,3.12,Electronics,Under Review
SUP-00521,Bavarian Polymer Corp 521,Japan,JPY,Net 30,3.49,Steel,Active
SUP-00522,Andean Electronics 522,Canada,CAD,LC At Sight,4.5,Crude Oil / Polymers,Active
SUP-00523,Precision Chemical Resins 523,UK,GBP,LC At Sight,4.48,Crude Oil / Polymers,Active
SUP-00524,Pacific Polymer Corp 524,India,INR,2/10 Net 30,2.29,Rare Earths,Inactive
SUP-00525,Sino Microtech 525,China,CNY,Net 60,3.19,Rare Earths,Active
SUP-00526,Global Polymer Corp 526,Japan,JPY,Net 30,2.55,Freight,Active
SUP-00527,Precision Industrial 527,South Korea,KRW,Net 60,2.35,Rare Earths,Active
SUP-00528,Titan Cable & Wire 528,UK,GBP,2/10 Net 30,3.9,Rare Earths,Active
SUP-00529,Precision Logistics Parts 529,India,INR,Net 30,2.99,Rare Earths,Active
SUP-00530,Bavarian Metal Tech 530,Germany,EUR,Net 30,3.23,Steel,Under Review
SUP-00531,Apex Logistics Parts 531,South Korea,KRW,Net 30,4.5,Freight,Active
SUP-00532,Sino Polymer Corp 532,China,CNY,COD,,Freight,Preferred
SUP-00533,Apex Polymer Corp 533,Unknown,USD,COD,4.97,Steel,Inactive
SUP-00534,Atlas Metal Tech 534,China,CNY,Net 30,4.37,Electronics,Inactive
SUP-00535,Titan Microtech 535,Canada,CAD,Net 30,3.42,Steel,Inactive
SUP-00536,Precision Microtech 536,China,CNY,LC At Sight,3.74,Packaging,Active
SUP-00537,Apex Metal Tech 537,USA,USD,Net 30,3.71,Freight,Preferred
SUP-00538,Atlas Chemical Resins 538,Chile,USD,Net 30,4.97,Electronics,Active
SUP-00539,Apex Microtech 539,UK,GBP,Net 60,4.19,Crude Oil / Polymers,Active
SUP-00540,Global Microtech 540,Vietnam,VND,LC At Sight,4.5,Electronics,Under Review
SUP-00541,Precision Industrial 541,Germany,EUR,2/10 Net 30,4.54,Electronics,Active
SUP-00542,Global Cable & Wire 542,UK,GBP,Net 30,4.96,Freight,Active
SUP-00543,Apex Polymer Corp 543,South Korea,KRW,2/10 Net 30,3.46,Crude Oil / Polymers,Preferred
SUP-00544,Titan Cable & Wire 544,Chile,USD,Net 30,2.32,Electronics,Under Review
SUP-00545,Bavarian Logistics Parts 545,Germany,EUR,LC At Sight,3.27,Copper,Active
SUP-00546,Atlas Polymer Corp 546,Unknown,VND,Net 30,,Steel,Preferred
SUP-00547,Sino Chemical Resins 547,UK,GBP,Net 30,3.66,Freight,Active
SUP-00548,Titan Polymer Corp 548,Taiwan,TWD,Net 30,3.47,Packaging,Inactive
SUP-00549,Nippon Chemical Resins 549,USA,USD,2/10 Net 30,4.5,Packaging,Active
SUP-00550,Precision Chemical Resins 550,China,CNY,COD,4.98,Electronics,Preferred
SUP-00551,Apex Polymer Corp 551,Taiwan,TWD,Net 30,3.47,Copper,Inactive
SUP-00552,Sino Electronics 552,India,INR,Net 30,3.76,Packaging,Inactive
SUP-00553,Atlas Metal Tech 553,Chile,USD,LC At Sight,2.09,Electronics,Inactive
SUP-00554,Precision Polymer Corp 554,India,INR,Net 30,3.03,Crude Oil / Polymers,Active
SUP-00555,Precision Metal Tech 555,Germany,EUR,2/10 Net 30,2.31,Packaging,Inactive
SUP-00556,Pacific Cable & Wire 556,Japan,JPY,Net 30,2.13,Freight,Active
SUP-00557,Pacific Chemical Resins 557,Japan,JPY,Net 30,4.74,Electronics,Active
SUP-00558,Bavarian Industrial 558,Chile,USD,Net 30,4.5,Electronics,Active
SUP-00559,Sino Electronics 559,Unknown,MXN,Net 30,3.01,Crude Oil / Polymers,Under Review
SUP-00560,Vanguard Industrial 560,Japan,JPY,COD,,Rare Earths,Inactive
SUP-00561,Global Metal Tech 561,Germany,EUR,Net 30,2.06,Rare Earths,Under Review
SUP-00562,Vanguard Microtech 562,USA,USD,Net 60,4.83,Rare Earths,Inactive
SUP-00563,Global Polymer Corp 563,UK,GBP,COD,2.65,Packaging,Inactive
SUP-00564,Apex Metal Tech 564,Germany,EUR,Net 60,2.4,Steel,Active
SUP-00565,Bavarian Logistics Parts 565,Japan,JPY,Net 30,4.2,Rare Earths,Preferred
SUP-00566,Horizon Chemical Resins 566,Taiwan,TWD,LC At Sight,4.28,Electronics,Active
SUP-00567,Atlas Microtech 567,Canada,CAD,Net 30,4.5,Rare Earths,Active
SUP-00568,Apex Microtech 568,Taiwan,TWD,Net 30,2.02,Freight,Inactive
SUP-00569,Atlas Industrial 569,Chile,USD,COD,2.8,Freight,Preferred
SUP-00570,Apex Industrial 570,Taiwan,TWD,Net 30,3.9,Steel,Active
SUP-00571,Pacific Industrial 571,Germany,EUR,Net 30,2.53,Electronics,Preferred
SUP-00572,Precision Industrial 572,Unknown,CAD,Net 30,4.68,Rare Earths,Under Review
SUP-00573,Titan Electronics 573,Taiwan,TWD,2/10 Net 30,3.08,Copper,Under Review
SUP-00574,Horizon Chemical Resins 574,South Korea,KRW,Net 30,,Crude Oil / Polymers,Active
SUP-00575,Apex Metal Tech 575,Mexico,MXN,LC At Sight,3.4,Crude Oil / Polymers,Inactive
SUP-00576,Vanguard Electronics 576,UK,GBP,LC At Sight,4.5,Electronics,Inactive
SUP-00577,Global Metal Tech 577,USA,USD,LC At Sight,4.27,Crude Oil / Polymers,Active
SUP-00578,Nippon Chemical Resins 578,UK,GBP,Net 30,3.73,Electronics,Active
SUP-00579,Horizon Electronics 579,UK,GBP,Net 30,3.47,Steel,Active
SUP-00580,Horizon Chemical Resins 580,Chile,USD,LC At Sight,2.05,Copper,Active
SUP-00581,Precision Microtech 581,India,INR,Net 30,3.02,Steel,Active
SUP-00582,Precision Polymer Corp 582,USA,USD,Net 30,4.19,Freight,Active
SUP-00583,Bavarian Cable & Wire 583,Germany,EUR,Net 30,2.46,Packaging,Inactive
SUP-00584,Global Cable & Wire 584,South Korea,KRW,COD,4.23,Rare Earths,Active
SUP-00585,Nippon Industrial 585,Unknown,CNY,Net 30,4.5,Rare Earths,Active
SUP-00586,Sino Industrial 586,Japan,JPY,COD,3.24,Electronics,Inactive
SUP-00587,Titan Electronics 587,Japan,JPY,Net 30,2.63,Electronics,Active
SUP-00588,Pacific Polymer Corp 588,South Korea,KRW,Net 60,,Steel,Inactive
SUP-00589,Vanguard Metal Tech 589,UK,GBP,COD,2.43,Electronics,Active
SUP-00590,Precision Electronics 590,USA,USD,Net 30,2.72,Freight,Under Review
SUP-00591,Horizon Industrial 591,UK,GBP,Net 30,3.56,Electronics,Preferred
SUP-00592,Atlas Microtech 592,Mexico,MXN,Net 60,3.56,Rare Earths,Preferred
SUP-00593,Precision Microtech 593,Chile,USD,LC At Sight,2.4,Steel,Active
SUP-00594,Vanguard Industrial 594,USA,USD,LC At Sight,4.5,Freight,Active
SUP-00595,Sino Industrial 595,Vietnam,VND,Net 30,4.78,Crude Oil / Polymers,Active
SUP-00596,Bavarian Logistics Parts 596,Vietnam,VND,COD,3.82,Rare Earths,Inactive
SUP-00597,Apex Microtech 597,Germany,EUR,Net 60,3.61,Freight,Under Review
SUP-00598,Apex Metal Tech 598,Unknown,USD,Net 30,2.77,Copper,Preferred
SUP-00599,Andean Chemical Resins 599,Mexico,MXN,2/10 Net 30,3.12,Freight,Active
sup_600,Precision Logistics Parts 600,India,INR,Net 30,4.77,Packaging,Active
