ShipmentID,PO_Number,OriginWarehouseID,Carrier,TransportMode,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,BaseFreightCost,FuelSurcharge_CrudeIndexed,Currency,ShipmentStatus
SHP-0003564,PO-SYN-0001715,WH-40,Fed-Ex,Truck,2024-06-28,2024-07-13,N/A,1408.85,387.34,USD,DELAYED_WEATHER
SHP-0003565,PO-SYN-0015518,WH-38,MSC Logistics,Ocean,2026-01-12,2026-01-27,2026-01-28,2193.29,734.52,USD,Delivered
SHP-0003566,PO-SYN-0018580,WH-49,FedEx,Air Freight,2024-03-27,2024-04-11,2024-05-02,19792.69,5906.54,USD,Delivered
SHP-0003567,PO-SYN-0005306,WH-15,FedEx,Air Freight,2026-02-27,2026-03-14,2026-04-08,8093.5,2770.03,USD,Delivered
SHP-0003568,PO-SYN-0004130,WH-21,MAERSK,Ocean Freight,2025-09-26,2025-10-11,N/A,$16065.6,2476.83,USD,DELAYED_WEATHER
SHP-0003569,PO-SYN-0013907,WH-43,FEDEX EXPRESS,Truck,2026-05-17,2026-06-01,N/A,17966.99,2909.25,USD,SCHEDULED
SHP-0003570,PO-SYN-0008580,WH-27,DHL,Ocean,2024-06-10,2024-06-25,N/A,FREE,507.69,USD,IN_TRANSIT
SHP-0003571,PO-SYN-0013363,WH-20,Fed-Ex,Ocean,2025-01-04,2025-01-19,2025-02-02,17055.8,5080.94,USD,DELIVERED
SHP-0003572,PO-SYN-0016703,WH-27,FEDEX EXPRESS,Ocean Freight,2025-08-05,2025-08-20,N/A,4200.84,941.47,USD,DELAYED_WEATHER
SHP-0003573,PO-SYN-0017998,WH-06,DB Schenker,Road Transport,2025-05-12,2025-05-27,N/A,17502.21,2966.8,USD,SCHEDULED
SHP-0003574,PO-SYN-0007780,WH-35,MAERSK,Ocean,2025-09-13,2025-09-28,2025-10-02,8150.59,1591.67,USD,Delivered
SHP-0003575,PO-SYN-0002069,WH-22,DHL Express,Ocean Freight,2024-04-01,2024-04-16,N/A,18253.74,3138.28,USD,DELAYED_WEATHER
SHP-0003576,PO-SYN-0005215,WH-33,Fed-Ex,Truck,2024-07-01,2024-07-16,N/A,$1873.63,338.7,USD,PORT_CUSTOMS_HOLD
SHP-0003577,PO-SYN-0017809,WH-35,FedEx,Ocean,2025-04-08,2025-04-23,N/A,4610.61,1039.64,USD,SCHEDULED
SHP-0003578,PO-SYN-0012467,WH-21,MSC Logistics,Road Transport,2024-11-20,2024-12-05,2024-12-08,14099.33,4363.1,USD,DELIVERED
SHP-0003579,PO-SYN-0010768,WH-23,DHL,Road Transport,2024-02-13,2024-02-28,N/A,13819.69,3544.47,USD,PORT_CUSTOMS_HOLD
SHP-0003580,PO-SYN-0001045,WH-40,FEDEX EXPRESS,Truck,2024-03-01,2024-03-16,N/A,,4339.41,USD,SCHEDULED
SHP-0003581,PO-SYN-0014090,WH-41,DHL,AIR,2025-09-27,2025-10-12,N/A,3955.75,1239.47,USD,SCHEDULED
SHP-0003582,PO-SYN-0019905,WH-33,Maersk Line,Truck,2025-12-06,2025-12-21,N/A,13831.98,3599.11,USD,SCHEDULED
SHP-0003583,PO-SYN-0015696,WH-34,FedEx,Ocean,2024-08-22,2024-09-06,2024-09-13,13131.53,3454.84,USD,Delivered
SHP-0003584,PO-SYN-0014712,WH-28,DB Schenker,Truck,2024-12-01,2024-12-16,N/A,$17863.91,3610.0,USD,DELAYED_WEATHER
SHP-0003585,PO-SYN-0000531,WH-49,Fed-Ex,Truck,2024-06-19,2024-07-04,2024-07-21,9616.01,1399.21,USD,DELIVERED
SHP-0003586,PO-SYN-0001933,WH-45,MSC Logistics,Truck,2026-03-29,2026-04-13,N/A,14129.95,3948.64,USD,SCHEDULED
SHP-0003587,PO-SYN-0010941,WH-15,Fed-Ex,AIR,2024-06-11,2024-06-26,N/A,17585.25,4856.99,USD,SCHEDULED
SHP-0003588,PO-SYN-0010121,WH-10,DHL Express,Ocean,2025-10-10,2025-10-25,N/A,20104.06,6219.1,USD,PORT_CUSTOMS_HOLD
SHP-0003589,PO-SYN-0006809,WH-44,DHL Express,Truck,2025-10-15,2025-10-30,2025-11-04,14988.09,3513.89,USD,Delivered
SHP-0003590,PO-SYN-0019435,WH-50,FedEx,Ocean Freight,2026-03-19,2026-04-03,N/A,5185.06,1542.46,USD,PORT_CUSTOMS_HOLD
SHP-0003591,PO-SYN-0012975,WH-46,MSC Logistics,Road Transport,2025-09-02,2025-09-17,N/A,558.7,144.15,USD,PORT_CUSTOMS_HOLD
SHP-0003592,PO-SYN-0018903,WH-12,MSC Logistics,Ocean Freight,2025-11-15,2025-11-30,N/A,$2423.63,774.73,USD,IN_TRANSIT
SHP-0003593,PO-SYN-0018704,WH-41,MSC Logistics,Ocean Freight,2024-11-03,2024-11-18,2024-11-27,15236.26,4812.75,USD,DELIVERED
SHP-0003594,PO-SYN-0004381,WH-46,DHL Express,Air Freight,2024-05-29,2024-06-13,N/A,4756.24,919.74,USD,IN_TRANSIT
SHP-0003595,PO-SYN-0012026,WH-43,Fed-Ex,AIR,2024-12-11,2024-12-26,N/A,13887.01,1738.73,USD,DELAYED_WEATHER
SHP-0003596,PO-SYN-0005065,WH-41,DB Schenker,Air Freight,2025-01-04,2025-01-19,2025-01-18,921.63,263.74,USD,Delivered
SHP-0003597,PO-SYN-0007042,WH-41,MAERSK,AIR,2024-08-09,2024-08-24,N/A,2523.73,827.94,USD,PORT_CUSTOMS_HOLD
SHP-0003598,PO-SYN-0011513,WH-46,MAERSK,Air Freight,2026-03-28,2026-04-12,N/A,FREE,945.29,USD,PORT_CUSTOMS_HOLD
SHP-0003599,PO-SYN-0013184,WH-30,FEDEX EXPRESS,Ocean Freight,2025-09-21,2025-10-06,N/A,12327.03,4049.75,USD,PORT_CUSTOMS_HOLD
SHP-0003600,PO-SYN-0010004,WH-35,MSC Logistics,Road Transport,2024-05-29,2024-06-13,2024-05-24,$18950.92,6471.27,USD,Delivered
SHP-0003601,PO-SYN-0002652,WH-43,DHL,Ocean Freight,2025-07-09,2025-07-24,N/A,8207.18,1589.18,USD,SCHEDULED
SHP-0003602,PO-SYN-0010059,WH-07,DB Schenker,Road Transport,2024-07-16,2024-07-31,2024-08-03,9405.68,2233.72,USD,Delivered
SHP-0003603,PO-SYN-0011134,WH-40,Maersk Line,Truck,2024-11-21,2024-12-06,N/A,15216.44,4141.26,USD,DELAYED_WEATHER
SHP-0003604,PO-SYN-0002858,WH-20,Maersk Line,Ocean,2025-06-17,2025-07-02,N/A,16876.81,4924.33,USD,SCHEDULED
SHP-0003605,PO-SYN-0009759,WH-49,DHL,Road Transport,2026-01-18,2026-02-02,N/A,2375.2,659.87,USD,DELAYED_WEATHER
SHP-0003606,PO-SYN-0011887,WH-23,Maersk Line,Air Freight,2025-12-04,2025-12-19,N/A,16695.36,5002.44,USD,SCHEDULED
SHP-0003607,PO-SYN-0004747,WH-24,MAERSK,Ocean,2025-10-03,2025-10-18,2025-10-10,23536.99,5018.05,USD,Delivered
SHP-0003608,PO-SYN-0018287,WH-48,DHL,Air Freight,2024-02-19,2024-03-05,N/A,$1330.97,263.47,USD,DELAYED_WEATHER
SHP-0003609,PO-SYN-0019799,WH-42,DHL,AIR,2024-11-07,2024-11-22,2024-11-16,3662.22,961.34,USD,DELIVERED
SHP-0003610,PO-SYN-0009891,WH-40,MAERSK,AIR,2026-02-08,2026-02-23,N/A,4394.84,925.76,USD,DELAYED_WEATHER
SHP-0003611,PO-SYN-0010762,WH-47,Maersk Line,Road Transport,2025-02-15,2025-03-02,2025-03-08,8303.14,2784.66,USD,DELIVERED
SHP-0003612,PO-SYN-0010479,WH-03,MSC Logistics,Air Freight,2025-09-11,2025-09-26,N/A,FREE,512.39,USD,PORT_CUSTOMS_HOLD
SHP-0003613,PO-SYN-0019514,WH-02,DHL,Ocean,2025-06-03,2025-06-18,N/A,22197.04,5518.59,USD,IN_TRANSIT
SHP-0003614,PO-SYN-0019295,WH-42,FEDEX EXPRESS,Road Transport,2024-04-12,2024-04-27,N/A,7154.66,2495.84,USD,SCHEDULED
SHP-0003615,PO-SYN-0008445,WH-08,DHL,Truck,2025-08-21,2025-09-05,N/A,11634.26,3490.93,USD,DELAYED_WEATHER
SHP-0003616,PO-SYN-0012536,WH-09,MSC Logistics,Ocean Freight,2024-10-05,2024-10-20,2024-11-14,$927.13,235.83,USD,Delivered
SHP-0003617,PO-SYN-0003661,WH-23,MSC Logistics,Air Freight,2025-03-02,2025-03-17,2025-03-21,21920.11,7160.61,USD,Delivered
SHP-0003618,PO-SYN-0013309,WH-35,DHL Express,Ocean Freight,2024-12-04,2024-12-19,N/A,15367.27,2481.23,USD,DELAYED_WEATHER
SHP-0003619,PO-SYN-0008023,WH-27,FEDEX EXPRESS,AIR,2024-10-15,2024-10-30,N/A,9230.34,2812.71,USD,PORT_CUSTOMS_HOLD
SHP-0003620,PO-SYN-0013168,WH-21,DHL,Truck,2025-06-13,2025-06-28,N/A,,142.77,USD,SCHEDULED
SHP-0003621,PO-SYN-0010249,WH-15,DB Schenker,Ocean,2024-05-14,2024-05-29,2024-05-29,3509.96,1133.89,USD,Delivered
SHP-0003622,PO-SYN-0012933,WH-30,FEDEX EXPRESS,Ocean Freight,2025-05-16,2025-05-31,N/A,11115.05,2198.63,USD,DELAYED_WEATHER
SHP-0003623,PO-SYN-0012180,WH-50,MAERSK,Road Transport,2025-05-26,2025-06-10,N/A,8993.82,1694.29,USD,SCHEDULED
SHP-0003624,PO-SYN-0019277,WH-03,MAERSK,Ocean,2024-12-29,2025-01-13,N/A,$21665.34,2629.66,USD,DELAYED_WEATHER
SHP-0003625,PO-SYN-0015043,WH-39,DHL,Ocean Freight,2025-05-05,2025-05-20,N/A,14475.18,4680.95,USD,PORT_CUSTOMS_HOLD
SHP-0003626,PO-SYN-0000454,WH-11,Fed-Ex,Ocean,2026-05-20,2026-06-04,2026-06-08,FREE,189.71,USD,Delivered
SHP-0003627,PO-SYN-0001669,WH-17,FedEx,Road Transport,2026-02-04,2026-02-19,N/A,18831.52,5758.38,USD,PORT_CUSTOMS_HOLD
SHP-0003628,PO-SYN-0010350,WH-39,MSC Logistics,Ocean Freight,2024-10-09,2024-10-24,2024-11-18,8695.17,1461.87,USD,Delivered
SHP-0003629,PO-SYN-0002536,WH-31,MSC Logistics,Air Freight,2025-04-04,2025-04-19,N/A,6872.84,1495.25,USD,DELAYED_WEATHER
SHP-0003630,PO-SYN-0014274,WH-44,FEDEX EXPRESS,Road Transport,2026-04-05,2026-04-20,N/A,12612.8,4061.82,USD,PORT_CUSTOMS_HOLD
SHP-0003631,PO-SYN-0014891,WH-34,FEDEX EXPRESS,Truck,2024-07-20,2024-08-04,2024-08-06,5960.01,1786.77,USD,DELIVERED
SHP-0003632,PO-SYN-0009347,WH-02,DHL Express,Road Transport,2024-10-28,2024-11-12,N/A,$12492.74,1781.48,USD,PORT_CUSTOMS_HOLD
SHP-0003633,PO-SYN-0001754,WH-10,Fed-Ex,Truck,2025-06-17,2025-07-02,2025-07-05,20880.02,2641.7,USD,Delivered
SHP-0003634,PO-SYN-0015957,WH-26,FedEx,Ocean,2024-11-09,2024-11-24,N/A,11182.14,2884.22,USD,DELAYED_WEATHER
SHP-0003635,PO-SYN-0010931,WH-27,Maersk Line,Air Freight,2025-01-09,2025-01-24,2025-01-30,22607.23,6897.8,USD,DELIVERED
SHP-0003636,PO-SYN-0009474,WH-19,DB Schenker,Ocean Freight,2025-09-22,2025-10-07,N/A,19229.27,6102.6,USD,DELAYED_WEATHER
SHP-0003637,PO-SYN-0000805,WH-48,Fed-Ex,Air Freight,2025-04-15,2025-04-30,N/A,23502.7,6951.69,USD,IN_TRANSIT
SHP-0003638,PO-SYN-0007287,WH-39,DHL,Road Transport,2024-05-10,2024-05-25,N/A,19092.82,4807.74,USD,PORT_CUSTOMS_HOLD
SHP-0003639,PO-SYN-0016081,WH-21,FedEx,Ocean Freight,2024-09-22,2024-10-07,N/A,3858.41,1137.78,USD,IN_TRANSIT
SHP-0003640,PO-SYN-0011794,WH-47,FEDEX EXPRESS,Truck,2025-03-11,2025-03-26,N/A,$9702.51,1404.36,USD,PORT_CUSTOMS_HOLD
SHP-0003641,PO-SYN-0014803,WH-30,DHL Express,Ocean Freight,2025-05-08,2025-05-23,N/A,4106.37,746.37,USD,PORT_CUSTOMS_HOLD
SHP-0003642,PO-SYN-0006578,WH-36,DHL Express,Truck,2026-02-17,2026-03-04,N/A,6388.08,1892.6,USD,IN_TRANSIT
SHP-0003643,PO-SYN-0016092,WH-10,MSC Logistics,Ocean,2025-09-06,2025-09-21,N/A,8142.07,2595.77,USD,IN_TRANSIT
SHP-0003644,PO-SYN-0002708,WH-48,Maersk Line,Truck,2026-05-19,2026-06-03,2026-06-25,18041.3,4796.08,USD,Delivered
SHP-0003645,PO-SYN-0003257,WH-29,Fed-Ex,AIR,2025-11-26,2025-12-11,2025-12-19,9472.15,2502.57,USD,DELIVERED
SHP-0003646,PO-SYN-0002166,WH-27,DB Schenker,Ocean,2024-08-23,2024-09-07,2024-08-27,3369.4,571.07,USD,Delivered
SHP-0003647,PO-SYN-0008625,WH-22,DB Schenker,Road Transport,2024-02-11,2024-02-26,N/A,15022.69,4641.34,USD,IN_TRANSIT
SHP-0003648,PO-SYN-0017230,WH-38,Maersk Line,Air Freight,2024-02-29,2024-03-15,2024-04-02,$15311.49,4274.24,USD,Delivered
SHP-0003649,PO-SYN-0007792,WH-10,DHL Express,Ocean Freight,2026-05-25,2026-06-09,N/A,16191.47,3017.98,USD,DELAYED_WEATHER
SHP-0003650,PO-SYN-0005868,WH-08,FedEx,Ocean Freight,2024-07-20,2024-08-04,N/A,12549.59,2131.84,USD,IN_TRANSIT
SHP-0003651,PO-SYN-0012023,WH-15,DHL Express,Ocean,2024-11-25,2024-12-10,N/A,13750.03,2777.55,USD,PORT_CUSTOMS_HOLD
SHP-0003652,PO-SYN-0003390,WH-47,MAERSK,Air Freight,2026-06-03,2026-06-18,N/A,20234.05,6888.8,USD,DELAYED_WEATHER
SHP-0003653,PO-SYN-0004337,WH-32,FEDEX EXPRESS,Ocean Freight,2026-04-24,2026-05-09,2026-05-19,8488.85,1864.93,USD,Delivered
SHP-0003654,PO-SYN-0015639,WH-49,Fed-Ex,Air Freight,2024-10-06,2024-10-21,N/A,FREE,1471.85,USD,PORT_CUSTOMS_HOLD
SHP-0003655,PO-SYN-0016033,WH-07,Fed-Ex,Ocean Freight,2025-01-23,2025-02-07,N/A,2060.69,333.29,USD,IN_TRANSIT
SHP-0003656,PO-SYN-0019951,WH-37,Maersk Line,Ocean,2024-05-06,2024-05-21,N/A,$11178.58,3497.45,USD,SCHEDULED
SHP-0003657,PO-SYN-0004527,WH-36,DHL Express,Ocean Freight,2025-08-10,2025-08-25,N/A,8929.49,2271.7,USD,DELAYED_WEATHER
SHP-0003658,PO-SYN-0009547,WH-32,DHL,Air Freight,2026-05-23,2026-06-07,N/A,9984.88,2856.11,USD,PORT_CUSTOMS_HOLD
SHP-0003659,PO-SYN-0009901,WH-34,DHL,Road Transport,2024-12-06,2024-12-21,N/A,8864.13,1433.23,USD,PORT_CUSTOMS_HOLD
SHP-0003660,PO-SYN-0015345,WH-21,FedEx,Ocean Freight,2025-03-16,2025-03-31,2025-04-03,,5910.54,USD,DELIVERED
SHP-0003661,PO-SYN-0013548,WH-27,MAERSK,Ocean Freight,2024-07-03,2024-07-18,N/A,23545.6,7089.2,USD,SCHEDULED
SHP-0003662,PO-SYN-0006796,WH-33,DHL,Truck,2024-07-23,2024-08-07,N/A,6304.55,1207.32,USD,SCHEDULED
SHP-0003663,PO-SYN-0005872,WH-37,FedEx,Truck,2026-04-05,2026-04-20,N/A,5616.11,1077.32,USD,PORT_CUSTOMS_HOLD
SHP-0003664,PO-SYN-0000311,WH-40,DB Schenker,Ocean Freight,2026-05-22,2026-06-06,N/A,$16772.99,4464.58,USD,DELAYED_WEATHER
SHP-0003665,PO-SYN-0016612,WH-45,MAERSK,Truck,2025-01-04,2025-01-19,N/A,5406.18,1707.27,USD,DELAYED_WEATHER
SHP-0003666,PO-SYN-0007074,WH-30,FedEx,Road Transport,2025-09-14,2025-09-29,N/A,21531.7,2859.02,USD,SCHEDULED
SHP-0003667,PO-SYN-0007958,WH-05,DB Schenker,Ocean Freight,2025-07-28,2025-08-12,N/A,22318.25,5984.15,USD,IN_TRANSIT
SHP-0003668,PO-SYN-0012342,WH-22,FEDEX EXPRESS,Ocean,2026-01-19,2026-02-03,N/A,FREE,5527.73,USD,IN_TRANSIT
SHP-0003669,PO-SYN-0004451,WH-46,DHL Express,Truck,2026-05-02,2026-05-17,2026-06-06,3287.32,818.27,USD,DELIVERED
SHP-0003670,PO-SYN-0012815,WH-27,Fed-Ex,Air Freight,2024-04-21,2024-05-06,N/A,5832.82,1370.78,USD,DELAYED_WEATHER
SHP-0003671,PO-SYN-0017599,WH-11,FEDEX EXPRESS,AIR,2026-04-16,2026-05-01,N/A,14097.24,4476.18,USD,DELAYED_WEATHER
SHP-0003672,PO-SYN-0000887,WH-49,FedEx,Truck,2026-02-01,2026-02-16,2026-03-06,$2701.43,452.55,USD,DELIVERED
SHP-0003673,PO-SYN-0017115,WH-13,DHL,Ocean Freight,2024-08-18,2024-09-02,N/A,12811.81,3181.99,USD,SCHEDULED
SHP-0003674,PO-SYN-0007038,WH-34,MAERSK,Ocean Freight,2025-04-29,2025-05-14,N/A,13403.83,1908.16,USD,SCHEDULED
SHP-0003675,PO-SYN-0007167,WH-28,Maersk Line,Ocean Freight,2024-12-17,2025-01-01,2024-12-12,10411.56,2386.62,USD,Delivered
SHP-0003676,PO-SYN-0010524,WH-33,DHL Express,Air Freight,2024-07-07,2024-07-22,N/A,4457.83,595.8,USD,IN_TRANSIT
SHP-0003677,PO-SYN-0011082,WH-28,DHL,Truck,2024-08-07,2024-08-22,N/A,9541.28,2825.4,USD,PORT_CUSTOMS_HOLD
SHP-0003678,PO-SYN-0006183,WH-38,MAERSK,Truck,2024-11-18,2024-12-03,N/A,15161.6,2538.56,USD,DELAYED_WEATHER
SHP-0003679,PO-SYN-0007710,WH-43,FedEx,Truck,2024-10-25,2024-11-09,N/A,17062.85,2948.22,USD,PORT_CUSTOMS_HOLD
SHP-0003680,PO-SYN-0011136,WH-49,MSC Logistics,Ocean,2024-11-29,2024-12-14,2024-12-26,$4872.88,1023.06,USD,Delivered
SHP-0003681,PO-SYN-0017581,WH-31,DB Schenker,AIR,2024-02-03,2024-02-18,2024-03-06,17393.62,4230.8,USD,Delivered
SHP-0003682,PO-SYN-0011332,WH-31,MAERSK,Ocean,2025-10-08,2025-10-23,2025-11-17,FREE,5077.76,USD,Delivered
SHP-0003683,PO-SYN-0016940,WH-37,DHL,AIR,2025-08-15,2025-08-30,2025-09-17,19889.62,3787.18,USD,DELIVERED
SHP-0003684,PO-SYN-0004413,WH-31,DB Schenker,Road Transport,2024-04-03,2024-04-18,N/A,17262.03,4541.64,USD,DELAYED_WEATHER
SHP-0003685,PO-SYN-0003194,WH-24,FedEx,Ocean Freight,2024-11-22,2024-12-07,N/A,20868.83,4905.84,USD,DELAYED_WEATHER
SHP-0003686,PO-SYN-0013729,WH-40,FedEx,Road Transport,2025-12-02,2025-12-17,2026-01-03,11398.4,2974.46,USD,DELIVERED
SHP-0003687,PO-SYN-0013636,WH-10,MAERSK,Truck,2024-07-14,2024-07-29,N/A,11998.1,4038.7,USD,IN_TRANSIT
SHP-0003688,PO-SYN-0015903,WH-47,MAERSK,Truck,2024-10-17,2024-11-01,2024-10-30,$7499.39,1472.79,USD,Delivered
SHP-0003689,PO-SYN-0005612,WH-13,DB Schenker,Ocean,2026-05-11,2026-05-26,2026-05-23,2923.29,800.51,USD,DELIVERED
SHP-0003690,PO-SYN-0009027,WH-14,FEDEX EXPRESS,Ocean,2024-04-14,2024-04-29,N/A,11641.1,2229.87,USD,PORT_CUSTOMS_HOLD
SHP-0003691,PO-SYN-0002551,WH-25,DHL,Truck,2024-12-26,2025-01-10,N/A,19587.23,5759.02,USD,IN_TRANSIT
SHP-0003692,PO-SYN-0009743,WH-03,Fed-Ex,Air Freight,2024-10-22,2024-11-06,N/A,11202.14,1475.65,USD,SCHEDULED
SHP-0003693,PO-SYN-0016308,WH-31,FedEx,Truck,2026-06-02,2026-06-17,N/A,8668.16,2602.63,USD,SCHEDULED
SHP-0003694,PO-SYN-0017007,WH-12,MSC Logistics,Ocean,2025-09-28,2025-10-13,N/A,829.65,265.81,USD,PORT_CUSTOMS_HOLD
SHP-0003695,PO-SYN-0011136,WH-37,MSC Logistics,Road Transport,2024-03-24,2024-04-08,N/A,22984.87,6800.17,USD,SCHEDULED
SHP-0003696,PO-SYN-0007802,WH-27,DB Schenker,Ocean,2024-06-22,2024-07-07,N/A,$13284.55,3600.2,USD,IN_TRANSIT
SHP-0003697,PO-SYN-0016000,WH-24,FEDEX EXPRESS,Ocean,2025-10-30,2025-11-14,N/A,8455.59,1761.17,USD,SCHEDULED
SHP-0003698,PO-SYN-0013446,WH-31,DB Schenker,Ocean,2024-03-25,2024-04-09,N/A,15230.23,4799.35,USD,SCHEDULED
SHP-0003699,PO-SYN-0018432,WH-40,MSC Logistics,Truck,2024-03-11,2024-03-26,2024-04-20,13258.99,4269.16,USD,Delivered
SHP-0003700,PO-SYN-0019753,WH-18,MSC Logistics,Ocean Freight,2026-03-14,2026-03-29,N/A,,5756.24,USD,IN_TRANSIT
SHP-0003701,PO-SYN-0010916,WH-43,Maersk Line,Truck,2024-07-22,2024-08-06,2024-08-23,21229.94,6548.83,USD,Delivered
SHP-0003702,PO-SYN-0003316,WH-34,FedEx,AIR,2025-05-12,2025-05-27,2025-06-09,7997.14,2605.18,USD,Delivered
SHP-0003703,PO-SYN-0018011,WH-25,Maersk Line,Ocean Freight,2026-02-21,2026-03-08,N/A,11312.95,2214.39,USD,IN_TRANSIT
SHP-0003704,PO-SYN-0017066,WH-14,DHL Express,Truck,2024-12-27,2025-01-11,N/A,$21165.15,5239.31,USD,IN_TRANSIT
SHP-0003705,PO-SYN-0010976,WH-27,MSC Logistics,Ocean Freight,2024-02-21,2024-03-07,2024-03-11,20710.87,2526.6,USD,Delivered
SHP-0003706,PO-SYN-0016554,WH-43,MSC Logistics,Truck,2024-04-24,2024-05-09,2024-04-30,8714.33,1517.84,USD,DELIVERED
SHP-0003707,PO-SYN-0001543,WH-34,FEDEX EXPRESS,Air Freight,2026-03-31,2026-04-15,2026-04-17,1826.75,317.61,USD,Delivered
SHP-0003708,PO-SYN-0002627,WH-19,MSC Logistics,Ocean Freight,2024-05-08,2024-05-23,2024-05-18,7081.3,918.27,USD,DELIVERED
SHP-0003709,PO-SYN-0005352,WH-43,FedEx,Ocean,2026-02-14,2026-03-01,N/A,9482.1,1353.23,USD,DELAYED_WEATHER
SHP-0003710,PO-SYN-0009358,WH-49,Maersk Line,Truck,2024-02-29,2024-03-15,2024-04-03,FREE,2788.75,USD,DELIVERED
SHP-0003711,PO-SYN-0016123,WH-21,DHL Express,AIR,2025-11-27,2025-12-12,2025-12-26,21329.76,4924.19,USD,DELIVERED
SHP-0003712,PO-SYN-0000753,WH-43,DHL,AIR,2026-06-11,2026-06-26,N/A,$17904.94,2327.13,USD,IN_TRANSIT
SHP-0003713,PO-SYN-0018417,WH-35,FEDEX EXPRESS,Ocean Freight,2024-04-12,2024-04-27,N/A,15224.9,5297.55,USD,DELAYED_WEATHER
SHP-0003714,PO-SYN-0014541,WH-37,FEDEX EXPRESS,Ocean Freight,2025-10-01,2025-10-16,2025-11-10,571.12,72.21,USD,Delivered
SHP-0003715,PO-SYN-0013205,WH-01,MSC Logistics,Truck,2025-09-09,2025-09-24,N/A,13385.41,2156.05,USD,SCHEDULED
SHP-0003716,PO-SYN-0016649,WH-41,DHL Express,Ocean Freight,2024-10-09,2024-10-24,2024-11-08,872.85,232.15,USD,Delivered
SHP-0003717,PO-SYN-0007100,WH-14,FEDEX EXPRESS,AIR,2025-06-23,2025-07-08,N/A,3723.61,767.92,USD,PORT_CUSTOMS_HOLD
SHP-0003718,PO-SYN-0004095,WH-44,FedEx,AIR,2026-04-27,2026-05-12,2026-05-08,1600.02,423.86,USD,DELIVERED
SHP-0003719,PO-SYN-0006184,WH-03,MSC Logistics,Truck,2025-05-13,2025-05-28,2025-06-14,10245.34,2555.78,USD,Delivered
SHP-0003720,PO-SYN-0011576,WH-24,DHL,Ocean Freight,2025-02-22,2025-03-09,N/A,$12402.94,3086.26,USD,PORT_CUSTOMS_HOLD
SHP-0003721,PO-SYN-0016776,WH-45,DHL Express,Ocean Freight,2025-05-31,2025-06-15,N/A,21973.69,4586.88,USD,PORT_CUSTOMS_HOLD
SHP-0003722,PO-SYN-0008414,WH-15,MAERSK,Ocean,2024-04-02,2024-04-17,N/A,2783.27,638.34,USD,PORT_CUSTOMS_HOLD
SHP-0003723,PO-SYN-0008971,WH-27,DB Schenker,Truck,2026-01-12,2026-01-27,N/A,18116.5,6299.78,USD,IN_TRANSIT
SHP-0003724,PO-SYN-0014455,WH-19,FedEx,Truck,2025-07-04,2025-07-19,2025-07-19,FREE,1466.75,USD,DELIVERED
SHP-0003725,PO-SYN-0014302,WH-25,DHL,Truck,2026-04-22,2026-05-07,N/A,23160.91,5071.22,USD,IN_TRANSIT
SHP-0003726,PO-SYN-0014427,WH-32,DHL,AIR,2024-05-25,2024-06-09,N/A,721.76,107.69,USD,PORT_CUSTOMS_HOLD
SHP-0003727,PO-SYN-0010476,WH-04,MSC Logistics,Ocean,2026-04-23,2026-05-08,2026-04-28,18013.58,4310.97,USD,Delivered
SHP-0003728,PO-SYN-0003660,WH-50,FedEx,Road Transport,2025-09-09,2025-09-24,N/A,$11549.21,3163.07,USD,PORT_CUSTOMS_HOLD
SHP-0003729,PO-SYN-0011512,WH-28,FedEx,AIR,2025-09-28,2025-10-13,2025-10-21,3406.8,836.41,USD,Delivered
SHP-0003730,PO-SYN-0016440,WH-26,FedEx,AIR,2025-10-25,2025-11-09,N/A,15048.29,4260.55,USD,DELAYED_WEATHER
SHP-0003731,PO-SYN-0011979,WH-15,DHL,Ocean Freight,2025-09-11,2025-09-26,N/A,9437.34,2035.56,USD,PORT_CUSTOMS_HOLD
SHP-0003732,PO-SYN-0018699,WH-35,MAERSK,Air Freight,2025-06-18,2025-07-03,N/A,13118.11,2745.86,USD,PORT_CUSTOMS_HOLD
SHP-0003733,PO-SYN-0001928,WH-50,MSC Logistics,Ocean Freight,2025-01-10,2025-01-25,2025-01-24,22668.43,3696.24,USD,Delivered
SHP-0003734,PO-SYN-0014347,WH-38,Fed-Ex,Road Transport,2024-09-03,2024-09-18,2024-09-27,18733.88,5317.13,USD,DELIVERED
SHP-0003735,PO-SYN-0019815,WH-43,DHL,Ocean Freight,2025-01-02,2025-01-17,N/A,7552.61,2177.29,USD,IN_TRANSIT
SHP-0003736,PO-SYN-0006648,WH-05,FEDEX EXPRESS,AIR,2025-09-24,2025-10-09,2025-10-04,$13419.23,4309.78,USD,Delivered
SHP-0003737,PO-SYN-0006938,WH-24,DHL Express,Truck,2025-08-25,2025-09-09,N/A,14077.91,3850.16,USD,DELAYED_WEATHER
SHP-0003738,PO-SYN-0010451,WH-09,FEDEX EXPRESS,Ocean,2025-12-25,2026-01-09,2025-12-31,FREE,2414.61,USD,Delivered
SHP-0003739,PO-SYN-0001189,WH-32,MAERSK,AIR,2024-04-02,2024-04-17,2024-04-28,2405.72,418.55,USD,DELIVERED
SHP-0003740,PO-SYN-0019645,WH-02,MAERSK,Ocean Freight,2026-03-05,2026-03-20,N/A,,1564.95,USD,PORT_CUSTOMS_HOLD
