ShipmentID,PO_Number,OriginWarehouseID,Carrier,TransportMode,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,FuelSurcharge_CrudeIndexed,Currency,ShipmentStatus,BaseFreightCost
SHP-0002455,PO-SYN-0007923,WH-15,DHL,Ocean Freight,17-08-2024,01-09-2024,02-09-2024,4796.07,USD,Scheduled,18055.96
SHP-0002456,PO-SYN-0018184,WH-32,Maersk Line,Truck,12-06-2024,27-06-2024,25-06-2024,4563.81,USD,Port_Customs_Hold,15611.72
SHP-0002457,PO-SYN-0008849,WH-38,DB Schenker,Ocean Freight,12-08-2025,27-08-2025,28-08-2025,3515.36,USD,In_Transit,15191.27
SHP-0002458,PO-SYN-0011009,WH-05,FedEx,Air Freight,06-07-2024,21-07-2024,24-07-2024,2252.68,USD,Port_Customs_Hold,12701.07
SHP-0002459,PO-SYN-0010715,WH-21,FedEx,Ocean Freight,04-05-2024,19-05-2024,17-05-2024,2708.29,USD,Scheduled,15389.4
SHP-0002460,PO-SYN-0019998,WH-11,Maersk Line,Ocean Freight,22-02-2025,09-03-2025,11-03-2025,2015.85,USD,In_Transit,6152.255
SHP-0002461,PO-SYN-0010319,WH-04,FedEx,Air Freight,11-04-2026,26-04-2026,03-05-2026,5678.54,USD,Port_Customs_Hold,23679.58
SHP-0002462,PO-SYN-0008040,WH-48,DB Schenker,Air Freight,08-01-2026,23-01-2026,27-01-2026,3937.15,USD,In_Transit,19967.07
SHP-0002463,PO-SYN-0016020,WH-01,DHL Express,Air Freight,07-06-2024,22-06-2024,25-06-2024,4164.14,USD,Port_Customs_Hold,11902.14
SHP-0002464,PO-SYN-0008389,WH-08,DHL Express,Road Transport,23-12-2025,07-01-2026,18-01-2026,1994.32,USD,Port_Customs_Hold,13432.02
SHP-0002465,PO-SYN-0006125,WH-15,FedEx Express,Air Freight,29-06-2024,14-07-2024,21-07-2024,3345.04,USD,In_Transit,14484.41
SHP-0002466,PO-SYN-0008873,WH-14,DHL Express,Air Freight,01-03-2025,16-03-2025,14-03-2025,510.95,USD,Delayed_Weather,2934.87
SHP-0002467,PO-SYN-0000503,WH-24,Maersk Line,Air Freight,31-01-2026,15-02-2026,19-02-2026,1140.3,USD,Port_Customs_Hold,7330.27
SHP-0002468,PO-SYN-0001749,WH-35,DHL Express,Air Freight,29-05-2025,13-06-2025,01-07-2025,4857.73,USD,Delivered,14017.43
SHP-0002469,PO-SYN-0006963,WH-08,Maersk,Air Freight,14-09-2025,29-09-2025,09-10-2025,1177.31,USD,Delivered,6202.67
SHP-0002470,PO-SYN-0006129,WH-18,DHL,Air Freight,14-08-2024,29-08-2024,07-09-2024,2296.22,USD,Scheduled,6777.67
SHP-0002471,PO-SYN-0004678,WH-26,FedEx,Ocean Freight,21-07-2024,05-08-2024,30-08-2024,3896.39,USD,Delivered,13444.98
SHP-0002472,PO-SYN-0012716,WH-08,DB Schenker,Ocean Freight,09-11-2025,24-11-2025,02-12-2025,4560.26,USD,Port_Customs_Hold,23704.11
SHP-0002473,PO-SYN-0019196,WH-12,Maersk,Ocean Freight,04-05-2024,19-05-2024,09-06-2024,4076.22,USD,Delivered,17168.09
SHP-0002474,PO-SYN-0019135,WH-16,MSC Logistics,Ocean Freight,17-04-2026,02-05-2026,01-05-2026,5042.98,USD,In_Transit,19667.43
SHP-0002475,PO-SYN-0012033,WH-34,Maersk,Truck,13-10-2025,28-10-2025,07-11-2025,4306.46,USD,Delayed_Weather,14120.08
SHP-0002476,PO-SYN-0007970,WH-40,MSC Logistics,Truck,17-12-2025,01-01-2026,04-01-2026,2795.78,USD,Port_Customs_Hold,8572.92
SHP-0002477,PO-SYN-0011623,WH-11,FedEx Express,Ocean Freight,21-03-2024,05-04-2024,27-04-2024,4637.52,USD,Delivered,17863.33
SHP-0002478,PO-SYN-0005187,WH-03,FedEx,Air Freight,01-06-2024,16-06-2024,30-06-2024,3622.75,USD,Delivered,0
SHP-0002479,PO-SYN-0017864,WH-17,FedEx,Road Transport,04-05-2024,19-05-2024,28-05-2024,218.5,USD,Scheduled,882.21
SHP-0002480,PO-SYN-0008705,WH-07,MSC Logistics,Air Freight,02-05-2024,17-05-2024,23-05-2024,2155.76,USD,Delivered,8395.32
SHP-0002481,PO-SYN-0009551,WH-14,Maersk,Air Freight,13-04-2026,28-04-2026,01-05-2026,1700.34,USD,Port_Customs_Hold,6924.95
SHP-0002482,PO-SYN-0006528,WH-44,MSC Logistics,Ocean Freight,26-03-2025,10-04-2025,13-04-2025,1721.34,USD,Scheduled,10254.42
SHP-0002483,PO-SYN-0014569,WH-31,Maersk Line,Air Freight,01-04-2026,16-04-2026,04-05-2026,6009.99,USD,Delivered,18570.44
SHP-0002484,PO-SYN-0013405,WH-17,Maersk,Ocean Freight,02-06-2026,17-06-2026,25-06-2026,666.5,USD,Port_Customs_Hold,3037.7
SHP-0002485,PO-SYN-0001630,WH-20,DB Schenker,Truck,08-03-2026,23-03-2026,15-03-2026,1407.86,USD,Delivered,4568.11
SHP-0002486,PO-SYN-0010895,WH-40,Maersk Line,Road Transport,04-05-2025,19-05-2025,19-05-2025,3949.98,USD,Port_Customs_Hold,19504.76
SHP-0002487,PO-SYN-0013785,WH-23,MSC Logistics,Ocean Freight,23-03-2025,07-04-2025,05-04-2025,6830.19,USD,Port_Customs_Hold,21289.49
SHP-0002488,PO-SYN-0009696,WH-24,FedEx Express,Air Freight,24-07-2025,08-08-2025,08-08-2025,7612.08,USD,Delayed_Weather,23077.73
SHP-0002489,PO-SYN-0008367,WH-30,Maersk Line,Road Transport,25-01-2025,09-02-2025,11-02-2025,2962.18,USD,Scheduled,24217.51
SHP-0002490,PO-SYN-0002911,WH-47,DHL Express,Ocean Freight,28-07-2024,12-08-2024,12-08-2024,5495.48,USD,Port_Customs_Hold,17256.5
SHP-0002491,PO-SYN-0011094,WH-10,DHL Express,Air Freight,16-10-2025,31-10-2025,31-10-2025,1384.92,USD,In_Transit,7736
SHP-0002492,PO-SYN-0004794,WH-25,Maersk,Truck,05-11-2024,20-11-2024,08-11-2024,262.91,USD,Delivered,0
SHP-0002493,PO-SYN-0012811,WH-32,FedEx Express,Air Freight,03-03-2026,18-03-2026,19-03-2026,1489.02,USD,In_Transit,8321.46
SHP-0002494,PO-SYN-0000215,WH-47,DB Schenker,Truck,15-08-2025,30-08-2025,06-09-2025,5876,USD,Delayed_Weather,23559.57
SHP-0002495,PO-SYN-0006671,WH-21,MSC Logistics,Air Freight,15-02-2024,01-03-2024,09-03-2024,3549.61,USD,Delayed_Weather,19939.75
SHP-0002496,PO-SYN-0002810,WH-29,DHL Express,Ocean Freight,11-05-2026,26-05-2026,04-06-2026,2083.73,USD,Port_Customs_Hold,9068.4
SHP-0002497,PO-SYN-0013247,WH-02,DHL Express,Ocean Freight,12-01-2026,27-01-2026,07-02-2026,3403.81,USD,Delayed_Weather,12021.4
SHP-0002498,PO-SYN-0006105,WH-22,FedEx Express,Truck,06-10-2024,21-10-2024,26-10-2024,755.03,USD,Scheduled,3884.38
SHP-0002499,PO-SYN-0007623,WH-42,FedEx,Truck,26-06-2024,11-07-2024,16-07-2024,681.35,USD,Delayed_Weather,3016.86
SHP-0002500,PO-SYN-0014464,WH-10,FedEx Express,Air Freight,06-07-2024,21-07-2024,26-07-2024,4797.11,USD,Delayed_Weather,6152.255
SHP-0002501,PO-SYN-0003637,WH-43,FedEx Express,Road Transport,26-03-2025,10-04-2025,16-04-2025,89.14,USD,Delayed_Weather,662.71
SHP-0002502,PO-SYN-0016628,WH-48,DB Schenker,Air Freight,12-03-2025,27-03-2025,01-04-2025,1702.9,USD,In_Transit,8975.62
SHP-0002503,PO-SYN-0018144,WH-27,FedEx Express,Ocean Freight,17-04-2025,02-05-2025,14-05-2025,987.42,USD,Delivered,4645.81
SHP-0002504,PO-SYN-0012343,WH-17,Maersk,Air Freight,26-02-2024,12-03-2024,10-03-2024,252.52,USD,In_Transit,848.73
SHP-0002505,PO-SYN-0002890,WH-04,FedEx Express,Truck,12-05-2024,27-05-2024,27-05-2024,887.19,USD,Scheduled,6359.91
SHP-0002506,PO-SYN-0007185,WH-28,Maersk,Road Transport,13-11-2025,28-11-2025,26-11-2025,448.39,USD,Port_Customs_Hold,0
SHP-0002507,PO-SYN-0016669,WH-36,DHL Express,Truck,23-09-2025,08-10-2025,16-10-2025,2591.68,USD,Port_Customs_Hold,8168.8
SHP-0002508,PO-SYN-0003443,WH-43,DB Schenker,Ocean Freight,19-01-2025,03-02-2025,06-02-2025,1820.17,USD,Port_Customs_Hold,5780.78
SHP-0002509,PO-SYN-0014243,WH-11,Maersk Line,Truck,11-06-2026,26-06-2026,01-07-2026,2058.43,USD,Scheduled,15644.83
SHP-0002510,PO-SYN-0001120,WH-10,MSC Logistics,Truck,20-09-2025,05-10-2025,09-10-2025,1205.31,USD,Port_Customs_Hold,5007.22
SHP-0002511,PO-SYN-0001713,WH-14,DB Schenker,Truck,12-07-2025,27-07-2025,31-07-2025,485.5,USD,Delayed_Weather,3978.7
SHP-0002512,PO-SYN-0008153,WH-11,DHL Express,Road Transport,24-05-2024,08-06-2024,11-06-2024,3164.47,USD,Scheduled,11281.48
SHP-0002513,PO-SYN-0014502,WH-05,Maersk Line,Air Freight,30-05-2026,14-06-2026,16-06-2026,454.52,USD,Delayed_Weather,2989.17
SHP-0002514,PO-SYN-0009678,WH-40,DB Schenker,Ocean Freight,19-09-2025,04-10-2025,13-10-2025,818.36,USD,Scheduled,4805.01
SHP-0002515,PO-SYN-0014208,WH-37,DHL,Air Freight,01-06-2024,16-06-2024,17-06-2024,6668.7,USD,Port_Customs_Hold,19646.58
SHP-0002516,PO-SYN-0008037,WH-10,DB Schenker,Truck,08-03-2024,23-03-2024,24-03-2024,410.04,USD,Scheduled,2804.17
SHP-0002517,PO-SYN-0004187,WH-09,Maersk Line,Air Freight,31-12-2024,15-01-2025,23-01-2025,6218.65,USD,Delivered,18794.2
SHP-0002518,PO-SYN-0019358,WH-24,MSC Logistics,Air Freight,11-01-2025,26-01-2025,02-02-2025,1866.79,USD,Delivered,6175.3
SHP-0002519,PO-SYN-0017881,WH-50,DHL,Ocean Freight,17-06-2024,02-07-2024,13-07-2024,2073.43,USD,Delivered,12296.89
SHP-0002520,PO-SYN-0000806,WH-02,DHL,Ocean Freight,26-05-2024,10-06-2024,03-07-2024,1443.11,USD,Delivered,6910.07
SHP-0002521,PO-SYN-0011212,WH-03,DB Schenker,Air Freight,16-06-2026,01-07-2026,05-07-2026,990.82,USD,Delayed_Weather,6301.58
SHP-0002522,PO-SYN-0016468,WH-39,FedEx,Ocean Freight,20-04-2026,05-05-2026,27-05-2026,2819.37,USD,Delivered,12129.7
SHP-0002523,PO-SYN-0001781,WH-39,Maersk Line,Ocean Freight,30-05-2025,14-06-2025,16-06-2025,4350.93,USD,Delayed_Weather,15367.76
SHP-0002524,PO-SYN-0000096,WH-30,Maersk,Air Freight,13-10-2024,28-10-2024,22-10-2024,2308.55,USD,Delivered,17864.65
SHP-0002525,PO-SYN-0015720,WH-32,DB Schenker,Ocean Freight,16-08-2025,31-08-2025,06-09-2025,5617.49,USD,Delayed_Weather,18234.47
SHP-0002526,PO-SYN-0013191,WH-36,Maersk,Ocean Freight,20-02-2026,07-03-2026,06-03-2026,944.24,USD,In_Transit,5961.91
SHP-0002527,PO-SYN-0009472,WH-17,FedEx Express,Air Freight,30-07-2025,14-08-2025,31-08-2025,3255.89,USD,Delivered,12825.98
SHP-0002528,PO-SYN-0005671,WH-06,DHL Express,Road Transport,07-08-2024,22-08-2024,15-09-2024,1303.11,USD,Delivered,5289.34
SHP-0002529,PO-SYN-0007641,WH-06,Maersk Line,Air Freight,05-11-2024,20-11-2024,18-11-2024,2608.35,USD,In_Transit,21234.09
SHP-0002530,PO-SYN-0007663,WH-10,FedEx,Road Transport,12-11-2024,27-11-2024,28-11-2024,4194.11,USD,Port_Customs_Hold,18694.25
SHP-0002531,PO-SYN-0012111,WH-21,Maersk Line,Air Freight,15-08-2024,30-08-2024,10-09-2024,2127.28,USD,Delivered,7833.56
SHP-0002532,PO-SYN-0013318,WH-48,FedEx Express,Ocean Freight,05-11-2025,20-11-2025,30-11-2025,855.86,USD,Delayed_Weather,3732.56
SHP-0002533,PO-SYN-0001336,WH-27,FedEx,Air Freight,02-01-2026,17-01-2026,24-01-2026,857.3,USD,Scheduled,4350.01
SHP-0002534,PO-SYN-0014467,WH-03,FedEx,Air Freight,27-06-2025,12-07-2025,31-07-2025,1762.13,USD,Delivered,0
SHP-0002535,PO-SYN-0018563,WH-10,FedEx,Ocean Freight,24-06-2024,09-07-2024,14-07-2024,1306.24,USD,Delivered,5827.81
SHP-0002536,PO-SYN-0013689,WH-06,DHL Express,Ocean Freight,02-07-2024,17-07-2024,27-07-2024,404.73,USD,Port_Customs_Hold,1268.44
SHP-0002537,PO-SYN-0005393,WH-25,DB Schenker,Air Freight,17-06-2024,02-07-2024,27-06-2024,2754.44,USD,Delivered,12592.31
SHP-0002538,PO-SYN-0006169,WH-38,FedEx Express,Ocean Freight,04-03-2026,19-03-2026,22-03-2026,3339.94,USD,In_Transit,19021.69
SHP-0002539,PO-SYN-0013391,WH-23,FedEx Express,Air Freight,14-02-2025,01-03-2025,02-03-2025,2612.48,USD,Delayed_Weather,16062.92
SHP-0002540,PO-SYN-0000175,WH-21,Maersk,Truck,03-06-2024,18-06-2024,21-06-2024,1661.39,USD,In_Transit,6152.255
SHP-0002541,PO-SYN-0011561,WH-35,FedEx Express,Truck,28-04-2026,13-05-2026,12-05-2026,144.58,USD,In_Transit,1002.62
SHP-0002542,PO-SYN-0012215,WH-40,DB Schenker,Ocean Freight,15-10-2025,30-10-2025,22-11-2025,2765.55,USD,Delivered,16954.84
SHP-0002543,PO-SYN-0011185,WH-10,DHL Express,Truck,28-10-2024,12-11-2024,14-11-2024,1690.21,USD,Delivered,9791.19
SHP-0002544,PO-SYN-0008755,WH-06,DB Schenker,Ocean Freight,16-07-2024,31-07-2024,25-07-2024,1947.4,USD,Delivered,10184.85
SHP-0002545,PO-SYN-0009562,WH-28,DHL Express,Truck,24-07-2025,08-08-2025,10-08-2025,1157.74,USD,Scheduled,6863.6
SHP-0002546,PO-SYN-0018198,WH-23,Maersk,Air Freight,27-01-2025,11-02-2025,06-02-2025,2615.19,USD,Delivered,14752.38
SHP-0002547,PO-SYN-0005885,WH-12,DHL,Truck,24-01-2026,08-02-2026,13-02-2026,3743.87,USD,Delivered,11051.27
SHP-0002548,PO-SYN-0004014,WH-31,DHL,Air Freight,17-11-2024,02-12-2024,05-12-2024,3648.47,USD,In_Transit,0
SHP-0002549,PO-SYN-0014755,WH-48,Maersk Line,Air Freight,14-08-2025,29-08-2025,27-08-2025,2205.65,USD,Delayed_Weather,9481.16
SHP-0002550,PO-SYN-0015095,WH-49,Maersk Line,Air Freight,14-08-2025,29-08-2025,01-09-2025,2843.71,USD,Scheduled,12149.95
SHP-0002551,PO-SYN-0007745,WH-30,Maersk Line,Ocean Freight,30-05-2025,14-06-2025,26-06-2025,3457.67,USD,Delivered,11137.86
SHP-0002552,PO-SYN-0018379,WH-43,MSC Logistics,Air Freight,13-02-2024,28-02-2024,06-03-2024,4123.65,USD,Scheduled,21473.55
SHP-0002553,PO-SYN-0006008,WH-01,Maersk,Air Freight,03-12-2024,18-12-2024,06-01-2025,3470.06,USD,Delivered,23355.31
SHP-0002554,PO-SYN-0014081,WH-39,DHL Express,Road Transport,14-10-2025,29-10-2025,27-10-2025,538.32,USD,In_Transit,2427.46
SHP-0002555,PO-SYN-0004155,WH-03,FedEx,Air Freight,19-11-2024,04-12-2024,08-12-2024,5340.75,USD,Scheduled,23290.85
SHP-0002556,PO-SYN-0012031,WH-39,FedEx Express,Ocean Freight,31-12-2024,15-01-2025,23-01-2025,234.88,USD,Port_Customs_Hold,961.11
SHP-0002557,PO-SYN-0003083,WH-31,Maersk Line,Ocean Freight,12-07-2025,27-07-2025,26-07-2025,6566.49,USD,Delayed_Weather,22643.68
SHP-0002558,PO-SYN-0015884,WH-32,Maersk Line,Ocean Freight,12-02-2026,27-02-2026,18-03-2026,4041.79,USD,Delivered,18813.46
SHP-0002559,PO-SYN-0000596,WH-49,MSC Logistics,Air Freight,27-12-2025,11-01-2026,19-01-2026,1090.08,USD,Delayed_Weather,6877.56
SHP-0002560,PO-SYN-0012623,WH-33,DB Schenker,Truck,07-08-2024,22-08-2024,20-08-2024,3846.76,USD,Scheduled,14934.7
SHP-0002561,PO-SYN-0016569,WH-07,DB Schenker,Truck,11-05-2024,26-05-2024,04-06-2024,4526.88,USD,Delivered,20173.84
SHP-0002562,PO-SYN-0012952,WH-24,MSC Logistics,Air Freight,27-11-2025,12-12-2025,14-12-2025,4100.15,USD,Port_Customs_Hold,0
SHP-0002563,PO-SYN-0017680,WH-13,MSC Logistics,Ocean Freight,11-04-2025,26-04-2025,03-05-2025,5108.94,USD,Scheduled,20585.13
SHP-0002564,PO-SYN-0002849,WH-44,DHL Express,Ocean Freight,24-08-2025,08-09-2025,08-09-2025,3469.38,USD,Delayed_Weather,20348.77
SHP-0002565,PO-SYN-0006498,WH-11,DB Schenker,Air Freight,05-09-2025,20-09-2025,22-09-2025,3553.58,USD,Delayed_Weather,19240.91
SHP-0002566,PO-SYN-0011264,WH-47,DHL,Ocean Freight,05-08-2024,20-08-2024,21-08-2024,224.33,USD,In_Transit,973.74
SHP-0002567,PO-SYN-0015380,WH-27,FedEx,Ocean Freight,25-03-2024,09-04-2024,14-04-2024,229.45,USD,Delayed_Weather,1298.93
SHP-0002568,PO-SYN-0002266,WH-45,FedEx,Air Freight,09-06-2026,24-06-2026,02-07-2026,4447.34,USD,Scheduled,14679.58
SHP-0002569,PO-SYN-0006094,WH-16,FedEx,Road Transport,22-09-2024,07-10-2024,18-10-2024,4028.73,USD,Port_Customs_Hold,12928.07
SHP-0002570,PO-SYN-0002235,WH-43,DHL,Air Freight,02-03-2024,17-03-2024,30-03-2024,1413.89,USD,Delivered,10666.58
SHP-0002571,PO-SYN-0019142,WH-14,DHL Express,Road Transport,12-11-2024,27-11-2024,08-12-2024,2514.39,USD,Port_Customs_Hold,7807.88
SHP-0002572,PO-SYN-0008428,WH-48,FedEx,Ocean Freight,18-06-2024,03-07-2024,20-07-2024,2084.85,USD,Delivered,7651.89
SHP-0002573,PO-SYN-0012979,WH-32,FedEx Express,Ocean Freight,26-11-2024,11-12-2024,28-12-2024,409.01,USD,Delivered,2365.64
SHP-0002574,PO-SYN-0002450,WH-22,FedEx Express,Truck,27-08-2024,11-09-2024,14-09-2024,1591.45,USD,Port_Customs_Hold,12589.26
SHP-0002575,PO-SYN-0007303,WH-07,DB Schenker,Air Freight,05-11-2025,20-11-2025,31-10-2025,3460.06,USD,Delivered,13340.72
SHP-0002576,PO-SYN-0001409,WH-10,Maersk,Ocean Freight,22-07-2025,06-08-2025,21-08-2025,6793.09,USD,Delivered,20596.56
SHP-0002577,PO-SYN-0010745,WH-18,MSC Logistics,Truck,27-06-2024,12-07-2024,22-07-2024,709.68,USD,Scheduled,5218.03
SHP-0002578,PO-SYN-0011370,WH-15,Maersk,Truck,22-02-2024,08-03-2024,16-03-2024,3082.27,USD,Delayed_Weather,18617.68
SHP-0002579,PO-SYN-0015301,WH-31,Maersk,Ocean Freight,04-04-2024,19-04-2024,24-04-2024,5919.8,USD,Delivered,23569.11
SHP-0002580,PO-SYN-0004511,WH-06,Maersk Line,Ocean Freight,05-01-2025,20-01-2025,19-01-2025,2100.92,USD,Delayed_Weather,6152.255
SHP-0002581,PO-SYN-0010512,WH-24,Maersk,Ocean Freight,05-04-2024,20-04-2024,28-04-2024,963.79,USD,Delivered,6708.07
SHP-0002582,PO-SYN-0005903,WH-50,FedEx,Road Transport,03-08-2024,18-08-2024,17-08-2024,3927.18,USD,Scheduled,16638.13
SHP-0002583,PO-SYN-0000439,WH-40,Maersk,Road Transport,02-07-2025,17-07-2025,19-07-2025,4222.77,USD,Delivered,21163.4
SHP-0002584,PO-SYN-0019184,WH-43,DB Schenker,Ocean Freight,16-02-2026,03-03-2026,11-03-2026,2221.08,USD,In_Transit,7477.45
SHP-0002585,PO-SYN-0019674,WH-29,FedEx,Air Freight,07-08-2025,22-08-2025,26-08-2025,1858.52,USD,Scheduled,7572.73
SHP-0002586,PO-SYN-0007360,WH-15,DHL,Ocean Freight,24-04-2025,09-05-2025,16-05-2025,489.51,USD,Port_Customs_Hold,2820.97
SHP-0002587,PO-SYN-0008441,WH-20,FedEx,Road Transport,11-05-2026,26-05-2026,05-06-2026,551.41,USD,In_Transit,3242.52
SHP-0002588,PO-SYN-0013354,WH-33,Maersk,Air Freight,22-04-2026,07-05-2026,11-05-2026,5988.7,USD,In_Transit,20599.67
SHP-0002589,PO-SYN-0019298,WH-06,FedEx,Truck,11-06-2026,26-06-2026,03-07-2026,132.04,USD,Scheduled,833.91
SHP-0002590,PO-SYN-0014705,WH-10,FedEx,Truck,11-02-2024,26-02-2024,24-02-2024,7150.69,USD,Delivered,0
SHP-0002591,PO-SYN-0006831,WH-46,Maersk,Road Transport,19-05-2025,03-06-2025,06-06-2025,7513.97,USD,Delayed_Weather,23674.87
SHP-0002592,PO-SYN-0003678,WH-18,DB Schenker,Air Freight,17-10-2025,01-11-2025,09-11-2025,2192.43,USD,Port_Customs_Hold,7098.32
SHP-0002593,PO-SYN-0012258,WH-34,FedEx,Ocean Freight,07-07-2025,22-07-2025,30-07-2025,1465.11,USD,Port_Customs_Hold,5951.19
SHP-0002594,PO-SYN-0001185,WH-46,FedEx Express,Air Freight,16-08-2024,31-08-2024,08-09-2024,2329.96,USD,Port_Customs_Hold,9862.52
SHP-0002595,PO-SYN-0019042,WH-49,FedEx,Road Transport,10-10-2025,25-10-2025,21-10-2025,4777.58,USD,Delivered,16607.44
SHP-0002596,PO-SYN-0007383,WH-23,FedEx Express,Ocean Freight,03-03-2025,18-03-2025,22-03-2025,897.41,USD,In_Transit,2815.36
SHP-0002597,PO-SYN-0011728,WH-40,FedEx,Truck,09-12-2024,24-12-2024,02-01-2025,2378.6,USD,Delivered,7294.38
SHP-0002598,PO-SYN-0008666,WH-17,Maersk Line,Ocean Freight,28-04-2026,13-05-2026,21-05-2026,4685.57,USD,Scheduled,16574.67
SHP-0002599,PO-SYN-0010424,WH-34,DB Schenker,Ocean Freight,29-03-2024,13-04-2024,18-04-2024,1716.7,USD,Scheduled,6852.89
SHP-0002600,PO-SYN-0014061,WH-37,MSC Logistics,Ocean Freight,09-04-2024,24-04-2024,23-04-2024,862.21,USD,Port_Customs_Hold,2633.16
SHP-0002601,PO-SYN-0009637,WH-21,MSC Logistics,Truck,02-12-2025,17-12-2025,25-12-2025,1586.41,USD,Port_Customs_Hold,7377.94
SHP-0002602,PO-SYN-0010979,WH-46,Maersk Line,Road Transport,18-10-2024,02-11-2024,04-11-2024,5770.76,USD,Scheduled,16802.68
SHP-0002603,PO-SYN-0017118,WH-41,DB Schenker,Air Freight,22-01-2026,06-02-2026,10-02-2026,2877.83,USD,Scheduled,16158.91
SHP-0002604,PO-SYN-0003253,WH-24,FedEx Express,Air Freight,21-01-2026,05-02-2026,06-02-2026,3989.13,USD,Port_Customs_Hold,0
SHP-0002605,PO-SYN-0019568,WH-13,Maersk Line,Air Freight,28-03-2024,12-04-2024,21-04-2024,4331.38,USD,Scheduled,15409.48
SHP-0002606,PO-SYN-0001563,WH-24,FedEx,Air Freight,28-05-2026,12-06-2026,15-06-2026,2336.04,USD,Scheduled,7252.78
SHP-0002607,PO-SYN-0003611,WH-27,DHL,Air Freight,18-02-2025,05-03-2025,02-03-2025,1999.75,USD,Delivered,11868.58
SHP-0002608,PO-SYN-0018199,WH-45,FedEx Express,Air Freight,18-09-2025,03-10-2025,05-10-2025,2543.11,USD,In_Transit,17520.09
SHP-0002609,PO-SYN-0012293,WH-08,FedEx Express,Road Transport,03-12-2025,18-12-2025,21-12-2025,222.38,USD,Port_Customs_Hold,1264.32
SHP-0002610,PO-SYN-0008727,WH-29,DB Schenker,Air Freight,01-03-2025,16-03-2025,27-03-2025,5518.37,USD,Port_Customs_Hold,17586.94
SHP-0002611,PO-SYN-0016642,WH-40,FedEx,Air Freight,19-06-2025,04-07-2025,13-07-2025,3190.87,USD,Delayed_Weather,17908.94
SHP-0002612,PO-SYN-0014691,WH-28,FedEx,Air Freight,02-04-2024,17-04-2024,20-04-2024,2300.55,USD,Delivered,9910.46
SHP-0002613,PO-SYN-0014727,WH-34,MSC Logistics,Ocean Freight,02-08-2025,17-08-2025,20-08-2025,868.31,USD,Delivered,3650.7
SHP-0002614,PO-SYN-0000696,WH-11,FedEx Express,Ocean Freight,19-07-2024,03-08-2024,13-08-2024,2430.46,USD,In_Transit,14140.62
SHP-0002615,PO-SYN-0013473,WH-39,FedEx Express,Road Transport,31-03-2026,15-04-2026,15-04-2026,4681.19,USD,Delayed_Weather,16803.01
SHP-0002616,PO-SYN-0006534,WH-04,Maersk,Air Freight,21-02-2025,08-03-2025,16-03-2025,2903.56,USD,In_Transit,11810.75
SHP-0002617,PO-SYN-0008965,WH-36,MSC Logistics,Ocean Freight,16-08-2024,31-08-2024,25-09-2024,1579.12,USD,Delivered,8001.08
SHP-0002618,PO-SYN-0016607,WH-48,MSC Logistics,Air Freight,09-01-2026,24-01-2026,26-01-2026,3987.16,USD,Delivered,0
SHP-0002619,PO-SYN-0013168,WH-12,DHL,Truck,02-01-2025,17-01-2025,16-01-2025,3132.11,USD,Scheduled,15176.85
SHP-0002620,PO-SYN-0016769,WH-49,FedEx Express,Truck,16-01-2025,31-01-2025,25-01-2025,1864.3,USD,Delivered,6152.255
SHP-0002621,PO-SYN-0017936,WH-04,DB Schenker,Air Freight,25-04-2024,10-05-2024,23-05-2024,4879.25,USD,Delivered,13981.28
SHP-0002622,PO-SYN-0000795,WH-13,DB Schenker,Air Freight,09-03-2024,24-03-2024,21-03-2024,4808.12,USD,Delivered,15493.25
SHP-0002623,PO-SYN-0006286,WH-34,FedEx,Air Freight,29-03-2026,13-04-2026,13-04-2026,1401.29,USD,Delivered,7325.71
SHP-0002624,PO-SYN-0016402,WH-12,FedEx Express,Ocean Freight,20-02-2025,07-03-2025,11-03-2025,2821.07,USD,Port_Customs_Hold,9316.85
SHP-0002625,PO-SYN-0000575,WH-46,FedEx,Truck,09-04-2026,24-04-2026,04-04-2026,1000.5,USD,Delivered,4662.88
SHP-0002626,PO-SYN-0012544,WH-11,FedEx Express,Air Freight,14-07-2024,29-07-2024,01-08-2024,4567.05,USD,Port_Customs_Hold,19038.74
SHP-0002627,PO-SYN-0002368,WH-32,DB Schenker,Road Transport,06-03-2024,21-03-2024,23-03-2024,4965.02,USD,Scheduled,23728.48
SHP-0002628,PO-SYN-0006189,WH-45,Maersk,Ocean Freight,04-04-2025,19-04-2025,05-05-2025,3338.85,USD,Delivered,9597.29
SHP-0002629,PO-SYN-0013393,WH-50,DHL Express,Air Freight,06-07-2025,21-07-2025,21-07-2025,3614.74,USD,Scheduled,19261.21
SHP-0002630,PO-SYN-0005414,WH-29,FedEx Express,Truck,11-03-2026,26-03-2026,25-03-2026,2534.07,USD,Port_Customs_Hold,15634.64
SHP-0002631,PO-SYN-0000473,WH-35,FedEx,Road Transport,21-06-2025,06-07-2025,07-07-2025,4082.01,USD,In_Transit,19975.39
SHP-0002632,PO-SYN-0015644,WH-50,Maersk,Ocean Freight,23-11-2025,08-12-2025,08-12-2025,2637.02,USD,Delivered,10069.44
SHP-0002633,PO-SYN-0013366,WH-22,FedEx,Ocean Freight,22-09-2025,07-10-2025,05-10-2025,777.13,USD,Scheduled,2932.93
